uni_name,Faculty,Number of courses
Universiti Malaysia Sarawak (UNIMAS),ECONOMICS AND BUSINESS,7
Universiti Malaysia Sarawak (UNIMAS),ENGINEERING,4
Universiti Malaysia Sarawak (UNIMAS),COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,5
Universiti Malaysia Sarawak (UNIMAS),RESOURCE SCIENCE AND TECHNOLOGY,5
Universiti Malaysia Sarawak (UNIMAS),APPLIED AND CREATIVE ARTS,7
Universiti Malaysia Sarawak (UNIMAS),SOCIAL SCIENCES AND HUMANITIES,6
Universiti Malaysia Sarawak (UNIMAS),COGNITIVE SCIENCES AND HUMAN DEVELOPMENT,3
Universiti Malaysia Sarawak (UNIMAS),MEDICINE AND HEALTH SCIENCES,2
Universiti Malaysia Sarawak (UNIMAS),BUILT ENVIRONMENT,2
Universiti Malaysia Sarawak (UNIMAS),LANGUAGE AND COMMUNICATION,3
